BioID,TmID,Won,Lost,Games,Stint
drewla01,ATL,44,38,82,1
riverdo01,BOS,56,26,82,1
brownla01,CHA,9,19,28,1
silaspa01,CHA,25,29,54,1
thiboto01,CHI,62,20,82,1
scottby01,CLE,19,63,82,2
carliri01,DAL,57,25,82,1
karlge01,DEN,50,32,82,1
kuestjo01,DET,30,52,82,1
smartke01,GSW,36,46,82,1
adelmri01,HOU,43,39,82,1
obrieji03,IND,17,27,44,1
vogelfr01,IND,20,18,38,1
delnevi01,LAC,32,50,82,1
jacksph01,LAL,57,25,82,1
hollili01,MEM,46,36,82,1
spoeler01,MIA,58,24,82,1
skilesc01,MIL,35,47,82,1
rambiku01,MIN,17,65,82,1
johnsav01,NJN,24,58,82,1
willimo01,NOH,46,36,82,1
dantomi01,NYK,42,40,82,1
brooksc01,OKC,55,27,82,2
vangust01,ORL,52,30,82,1
collido01,PHI,41,41,82,1
gentral01,PHO,40,42,82,1
mcmilna01,POR,48,34,82,1
westppa01,SAC,24,58,82,1
popovgr01,SAS,61,21,82,1
trianja01,TOR,22,60,82,1
corbity01,UTA,8,20,28,2
sloanje01,UTA,31,23,54,1
saundfl01,WAS,23,59,82,1
